ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code,latitude,longitude
CZJN,medium_airport,Swan River Airport,1100.0,,CA,CA-MB,Swan River,CZJN,ZJN,,52.120602,-101.236
CZKE,medium_airport,Kashechewan Airport,35.0,,CA,CA-ON,Kashechewan,CZKE,ZKE,,52.282501220703125,-81.67780303955078
CZLQ,medium_airport,Thicket Portage Airport,678.0,,CA,CA-MB,Thicket Portage,CZLQ,YTD,,55.31890106201172,-97.70780181884766
CZMD,medium_airport,Muskrat Dam Airport,911.0,,CA,CA-ON,Muskrat Dam,CZMD,MSA,,53.44139862060547,-91.76280212402344
CZMN,medium_airport,Pikwitonei Airport,630.0,,CA,CA-MB,Pikwitonei,CZMN,PIW,,55.58890151977539,-97.16419982910156
CZMT,medium_airport,Masset Airport,25.0,,CA,CA-BC,Masset,CZMT,ZMT,,54.02750015258789,-132.125
CZNG,medium_airport,Poplar River Airport,728.0,,CA,CA-MB,Poplar River,CZNG,XPP,,52.9965258788,-97.2741937637
CZPB,medium_airport,Sachigo Lake Airport,876.0,,CA,CA-ON,Sachigo Lake,CZPB,ZPB,,53.8911018371582,-92.19640350341797
CZPC,medium_airport,Pincher Creek Airport,3903.0,,CA,CA-AB,Pincher Creek,CZPC,WPC,,49.520599365200006,-113.997001648
CZRJ,medium_airport,Round Lake (Weagamow Lake) Airport,974.0,,CA,CA-ON,Round Lake,CZRJ,ZRJ,,52.943599700927734,-91.31279754638672
CZSJ,medium_airport,Sandy Lake Airport,951.0,,CA,CA-ON,Sandy Lake,CZSJ,ZSJ,,53.06420135498047,-93.34439849853516
CZSN,medium_airport,South Indian Lake Airport,951.0,,CA,CA-MB,South Indian Lake,CZSN,XSI,ZSN,56.7928009033,-98.9072036743
CZST,medium_airport,Stewart Airport,24.0,,CA,CA-BC,Stewart,CZST,ZST,CZST,55.935410448,-129.982434511
CZTM,medium_airport,Shamattawa Airport,289.0,,CA,CA-MB,Shamattawa,CZTM,ZTM,,55.8656005859375,-92.0813980102539
CZUC,medium_airport,Ignace Municipal Airport,1435.0,,CA,CA-ON,Ignace,CZUC,ZUC,,49.428204,-91.720418
CZWH,medium_airport,Lac Brochet Airport,1211.0,,CA,CA-MB,Lac Brochet,CZWH,XLB,ZWH,58.6175003052,-101.46900177
CZWL,medium_airport,Wollaston Lake Airport,1360.0,,CA,CA-SK,Wollaston Lake,CZWL,ZWL,,58.10689926147461,-103.1719970703125
DAAB,medium_airport,Blida Airport,535.0,AF,DZ,DZ-09,Blida,DAAB,QLD,,36.503601,2.81417
DAAD,medium_airport,Bou Saada Airport,1506.0,AF,DZ,DZ-28,Ouled Sidi Brahim,DAAD,BUJ,,35.3325,4.20639
DAAE,medium_airport,Soummam–Abane Ramdane Airport,20.0,AF,DZ,DZ-06,Béjaïa,DAAE,BJA,BJ1,36.711952,5.069804
DAAG,large_airport,Houari Boumediene Airport,82.0,AF,DZ,DZ-16,Algiers,DAAG,ALG,,36.693886,3.214531
DAAJ,medium_airport,Djanet Inedbirene Airport,3176.0,AF,DZ,DZ-56,Djanet,DAAJ,DJG,,24.292801,9.45244
DAAK,medium_airport,Boufarik Air Base,335.0,AF,DZ,DZ-09,Boufarik,DAAK,,,36.545799,2.87611
DAAP,medium_airport,Illizi Takhamalt Airport,1778.0,AF,DZ,DZ-33,Illizi,DAAP,VVZ,,26.723499,8.62265
DAAS,medium_airport,Ain Arnat Airport,3360.0,AF,DZ,DZ-19,Sétif,DAAS,QSF,,36.178100585900005,5.3244900703399995
DAAT,medium_airport,Aguenar – Hadj Bey Akhamok Airport,4518.0,AF,DZ,DZ-11,Tamanrasset,DAAT,TMR,,22.811501,5.45108
DAAV,medium_airport,Jijel Ferhat Abbas Airport,36.0,AF,DZ,DZ-18,Tahir,DAAV,GJL,,36.795101,5.87361
DAAY,medium_airport,Mecheria Airport,3855.0,AF,DZ,DZ-45,Mecheria,DAAY,MZW,,33.535900116,-0.242353007197
DAAZ,medium_airport,Relizane Airport,282.0,AF,DZ,DZ-48,Relizane,DAAZ,,,35.752955,0.625877
DABB,medium_airport,Annaba Rabah Bitat Airport,16.0,AF,DZ,DZ-23,Annaba,DABB,AAE,,36.826781,7.81334
DABC,medium_airport,Mohamed Boudiaf International Airport,2265.0,AF,DZ,DZ-25,Constantine,DABC,CZL,,36.2760009765625,6.620389938354492
DABS,medium_airport,Cheikh Larbi Tébessi Airport,2661.0,AF,DZ,DZ-12,Tébessi,DABS,TEE,,35.4315986633,8.12071990967
DABT,medium_airport,Batna Mostefa Ben Boulaid Airport,2697.0,AF,DZ,DZ-05,Batna,DABT,BLJ,,35.752102,6.30859
DAFH,medium_airport,Hassi R'Mel Airport,2540.0,AF,DZ,DZ-03,Hassi R'Mel,DAFH,HRM,,32.930401,3.31154
DAOB,medium_airport,Abdelhafid Boussouf Bou Chekif Airport,3245.0,AF,DZ,DZ-14,Tiaret,DAOB,TID,,35.341099,1.46315
DAOF,medium_airport,Tindouf Airport,1453.0,AF,DZ,DZ-37,Tindouf,DAOF,TIN,,27.7003993988,-8.167099952700001
DAOI,medium_airport,Chlef Aboubakr Belkaid International Airport,463.0,AF,DZ,DZ-02,Chlef,DAOI,CFK,,36.217166,1.342237
DAOL,medium_airport,Oran Tafraoui Airport,367.0,AF,DZ,DZ-31,Tafraoui,DAOL,TAF,,35.5424,-0.532278
DAON,medium_airport,Zenata – Messali El Hadj Airport,814.0,AF,DZ,DZ-13,Zenata,DAON,TLM,,35.013426,-1.457191
DAOO,medium_airport,Oran Es-Sénia (Ahmed Ben Bella) International Airport,295.0,AF,DZ,DZ-31,Es-Sénia,DAOO,ORN,,35.623901,-0.621183
DAOR,medium_airport,Béchar Boudghene Ben Ali Lotfi Airport,2661.0,AF,DZ,DZ-08,Béchar,DAOR,CBH,,31.645700454711914,-2.269860029220581
DAOV,medium_airport,Ghriss Airport,1686.0,AF,DZ,DZ-29,Ghriss,DAOV,MUW,,35.207699,0.147142
DAUA,medium_airport,Touat Cheikh Sidi Mohamed Belkebir Airport,919.0,AF,DZ,DZ-01,Adrar,DAUA,AZR,,27.837601,-0.186414
DAUB,medium_airport,Biskra - Mohamed Khider Airport,289.0,AF,DZ,DZ-07,Biskra,DAUB,BSK,,34.793301,5.73823
DAUE,medium_airport,El Golea Airport,1306.0,AF,DZ,DZ-50,El Menia,DAUE,ELG,,30.580732,2.861595
DAUG,medium_airport,Noumérat - Moufdi Zakaria Airport,1512.0,AF,DZ,DZ-47,El Atteuf,DAUG,GHA,,32.384102,3.79411
DAUH,medium_airport,Hassi Messaoud-Oued Irara Krim Belkacem Airport,463.0,AF,DZ,DZ-30,Hassi Messaoud,DAUH,HME,,31.673,6.14044
DAUI,medium_airport,In Salah Airport,896.0,AF,DZ,DZ-57,In Salah,DAUI,INZ,,27.250999,2.51202
DAUK,medium_airport,Touggourt Sidi Madhi Airport,279.0,AF,DZ,DZ-55,Touggourt,DAUK,TGR,,33.067799,6.08867
DAUL,medium_airport,Laghouat - Molay Ahmed Medeghri Airport,2510.0,AF,DZ,DZ-03,Laghouat,DAUL,LOO,,33.7644,2.92834
DAUO,medium_airport,Guemar Airport,203.0,AF,DZ,DZ-39,Guemar,DAUO,ELU,,33.5113983154,6.77679014206
DAUT,medium_airport,Timimoun Airport,1027.0,AF,DZ,DZ-54,Timimoun,DAUT,TMX,,29.237101,0.276033
DAUU,medium_airport,Ain Beida Airport,492.0,AF,DZ,DZ-30,Ouargla,DAUU,OGX,,31.9172,5.41278
DAUZ,medium_airport,Zarzaitine - In Aménas Airport,1847.0,AF,DZ,DZ-33,In Aménas,DAUZ,IAM,,28.0515,9.64291
DBBB,medium_airport,Cadjehoun Airport,19.0,AF,BJ,BJ-AQ,Cotonou,DBBB,COO,,6.357230186462402,2.384350061416626
DBC,medium_airport,Baicheng Chang'an Airport,480.0,AS,CN,CN-22,Baicheng,ZYBA,DBC,,45.505278,123.019722
DFFD,medium_airport,Ouagadougou Airport,1037.0,AF,BF,BF-KAD,Ouagadougou,DFFD,OUA,,12.3532,-1.51242
DFOO,medium_airport,Bobo Dioulasso Airport,1511.0,AF,BF,BF-HOU,Bobo Dioulasso,DFOO,BOY,,11.160099983215332,-4.33096981048584
DGAA,large_airport,Kotoka International Airport,205.0,AF,GH,GH-AA,Accra,DGAA,ACC,,5.605189800262451,-0.16678600013256073
DGAH,medium_airport,Ho Airport,356.0,AF,GH,GH-TV,Ho,DGAH,,HZ09,6.579691,0.532547
DGLE,medium_airport,Tamale Airport,553.0,AF,GH,GH-NP,Tamale,DGLE,TML,,9.55718994140625,-0.8632140159606934
DGSI,medium_airport,Kumasi Airport,942.0,AF,GH,GH-AH,Kumasi,DGSI,KMS,,6.714560031890869,-1.5908199548721313
DGSN,medium_airport,Sunyani Airport,1014.0,AF,GH,GH-BO,Sunyani,DGSN,NYI,,7.36183,-2.32876
DGTK,medium_airport,Takoradi Airport,21.0,AF,GH,GH-WP,Sekondi-Takoradi,DGTK,TKD,,4.896059989929199,-1.7747600078582764
DIAP,medium_airport,Félix-Houphouët-Boigny International Airport,21.0,AF,CI,CI-AB,Abidjan,DIAP,ABJ,,5.26139,-3.92629
DIBK,medium_airport,Bouaké Airport,1230.0,AF,CI,CI-VB,Bouaké,DIBK,BYK,,7.7388,-5.07367
DIDL,medium_airport,Daloa Airport,823.0,AF,CI,CI-SM,,DIDL,DJO,,6.792809963226318,-6.473189830780029
DIKO,medium_airport,Korhogo Airport,1214.0,AF,CI,CI-SV,Korhogo,DIKO,HGO,,9.38718,-5.55666
DIMN,medium_airport,Man Airport,1089.0,AF,CI,CI-MG,,DIMN,MJC,,7.272069931030273,-7.58735990524292
DISP,medium_airport,San Pedro Airport,26.0,AF,CI,CI-BS,,DISP,SPY,,4.746719837188721,-6.660820007324219
DIYO,medium_airport,Yamoussoukro Airport,699.0,AF,CI,CI-YM,Yamoussoukro,DIYO,ASK,,6.9031701088,-5.36558008194
DNAA,large_airport,Nnamdi Azikiwe International Airport,1123.0,AF,NG,NG-FC,Abuja,DNAA,ABV,,9.006790161132812,7.263169765472412
DNAI,medium_airport,Akwa Ibom International Airport,170.0,AF,NG,NG-AK,Uyo,DNAI,QUO,,4.8725,8.093
DNAK,medium_airport,Akure Airport,1100.0,AF,NG,NG-ON,Akure,DNAK,AKR,,7.246739864349365,5.3010101318359375
DNAS,medium_airport,Asaba International Airport,305.0,AF,NG,NG-DE,Asaba,DNAS,ABB,,6.204167,6.665278
DNBC,medium_airport,Sir Abubakar Tafawa Balewa International Airport,1965.0,AF,NG,NG-BA,Bauchi,DNBC,BCU,,10.482833,9.744
DNBE,medium_airport,Benin Airport,258.0,AF,NG,NG-ED,Benin,DNBE,BNI,,6.316979885101318,5.5995001792907715
DNBY,medium_airport,Bayelsa International Airport,67.0,AF,NG,NG-BY,Yenagoa,DNBY,,,4.95759,6.203327
DNCA,medium_airport,Margaret Ekpo International Airport,210.0,AF,NG,NG-CR,Calabar,DNCA,CBQ,,4.976019859313965,8.347200393676758
DNEN,medium_airport,Akanu Ibiam International Airport,466.0,AF,NG,NG-EN,Enegu,DNEN,ENU,,6.474269866943359,7.561960220336914
DNGU,medium_airport,Gusau Airport,1520.0,AF,NG,NG-ZA,Gusau,DNGU,,,12.1717,6.69611
DNIB,medium_airport,Ibadan Airport,725.0,AF,NG,NG-OY,Ibadan,DNIB,IBA,,7.362460136413574,3.97832989692688
DNIL,medium_airport,Ilorin International Airport,1126.0,AF,NG,NG-KW,Ilorin,DNIL,ILR,,8.440210342407227,4.493919849395752
DNIM,medium_airport,Sam Mbakwe International Airport,373.0,AF,NG,NG-IM,Owerri,DNIM,QOW,,5.427060127258301,7.206029891967773
DNJO,medium_airport,Yakubu Gowon Airport,4232.0,AF,NG,NG-PL,Jos,DNJO,JOS,,9.639829635620117,8.869050025939941
DNKA,medium_airport,Kaduna Airport,2073.0,AF,NG,NG-KD,Kaduna,DNKA,KAD,,10.696000099182129,7.320109844207764
DNKN,medium_airport,Mallam Aminu International Airport,1562.0,AF,NG,NG-KN,Kano,DNKN,KAN,,12.0476,8.52462
DNMA,medium_airport,Maiduguri International Airport,1099.0,AF,NG,NG-BO,Maiduguri,DNMA,MIU,,11.855299949645996,13.080900192260742
DNMK,medium_airport,Makurdi Airport,371.0,AF,NG,NG-BE,Makurdi,DNMK,MDI,,7.70388,8.61394
DNMM,large_airport,Murtala Muhammed International Airport,135.0,AF,NG,NG-LA,Lagos,DNMM,LOS,,6.5773701667785645,3.321160078048706
DNMN,medium_airport,Minna Airport,834.0,AF,NG,NG-NI,Minna,DNMN,MXJ,,9.652170181274414,6.462259769439697
DNPO,medium_airport,Port Harcourt International Airport,87.0,AF,NG,NG-RI,Port Harcourt,DNPO,PHC,,5.0154900550842285,6.94959020614624
DNSO,medium_airport,Sadiq Abubakar III International Airport,1010.0,AF,NG,NG-SO,Sokoto,DNSO,SKO,,12.916299819946289,5.207190036773682
DNYO,medium_airport,Yola Airport,599.0,AF,NG,NG-AD,Yola,DNYO,YOL,,9.257550239562988,12.430399894714355
DNZA,medium_airport,Zaria Airport,2170.0,AF,NG,NG-KD,Zaria,DNZA,ZAR,,11.1302,7.68581
DRRM,medium_airport,Maradi Airport,1240.0,AF,NE,NE-4,Maradi,DRRM,MFQ,,13.5024995803833,7.1267499923706055
DRRN,large_airport,Diori Hamani International Airport,732.0,AF,NE,NE-8,Niamey,DRRN,NIM,,13.4815,2.18361
DRRT,medium_airport,Tahoua Airport,1266.0,AF,NE,NE-5,Tahoua,DRRT,THZ,,14.8757,5.26536
DRZA,medium_airport,Mano Dayak International Airport,1657.0,AF,NE,NE-1,Agadez,DRZA,AJY,,16.965999603271484,8.000109672546387
DRZR,medium_airport,Zinder Airport,1516.0,AF,NE,NE-7,Zinder,DRZR,ZND,,13.779000282287598,8.983759880065918
DTKA,medium_airport,Tabarka-Aïn Draham International Airport,230.0,AF,TN,TN-32,Tabarka,DTKA,TBJ,,36.98,8.87694
DTMB,medium_airport,Monastir Habib Bourguiba International Airport,9.0,AF,TN,TN-52,Monastir,DTMB,MIR,,35.75809860229492,10.75469970703125
DTNH,medium_airport,Enfidha - Hammamet International Airport,21.0,AF,TN,TN-51,Enfidha,DTNH,NBE,DTNH,36.075833,10.438611
DTTA,large_airport,Tunis Carthage International Airport,22.0,AF,TN,TN-11,Tunis,DTTA,TUN,,36.851002,10.2272
DTTB,medium_airport,Bizerte Sidi Ahmed Air Base,20.0,AF,TN,TN-23,Borj Challouf,DTTB,,,37.242356,9.787016
DTTD,medium_airport,Remada Air Base,1004.0,AF,TN,TN-83,Remada,DTTD,,,32.30619812011719,10.382100105285645
DTTF,medium_airport,Gafsa Ksar International Airport,1060.0,AF,TN,TN-71,Gafsa,DTTF,GAF,,34.422000885009766,8.822500228881836
DTTG,medium_airport,Gabès Matmata International Airport,407.0,AF,TN,TN-81,Gabès,DTTG,GAE,,33.733691,9.91941
DTTJ,medium_airport,Djerba Zarzis International Airport,19.0,AF,TN,TN-82,Mellita,DTTJ,DJE,,33.875,10.7755
DTTR,medium_airport,El Borma Airport,827.0,AF,TN,TN-83,El Borma,DTTR,EBM,,31.704299926757812,9.254619598388672
DTTX,medium_airport,Sfax Thyna International Airport,85.0,AF,TN,TN-61,Sfax,DTTX,SFA,,34.71799850463867,10.690999984741211
DTTZ,medium_airport,Tozeur Nefta International Airport,287.0,AF,TN,TN-72,Tozeur,DTTZ,TOE,,33.939701080322266,8.110560417175293
DXNG,medium_airport,Niamtougou International Airport,1515.0,AF,TG,TG-K,Niamtougou,DXNG,LRL,,9.767330169677734,1.091249942779541
DXXX,medium_airport,Lomé–Tokoin International Airport,72.0,AF,TG,TG-M,Lomé,DXXX,LFW,,6.16561,1.25451
DZ-0016,medium_airport,Amguid Regional Airport,2001.0,AF,DZ,DZ-11,Idlès,,,,26.393417,5.325419
EBAW,medium_airport,Antwerp International Airport (Deurne),39.0,EU,BE,BE-VAN,Antwerp,EBAW,ANR,,51.1894,4.46028
EBBE,medium_airport,Beauvechain Air Base,370.0,EU,BE,BE-WBR,Beauvechain,EBBE,,,50.75859832763672,4.768330097198486
EBBL,medium_airport,Kleine Brogel Air Base,200.0,EU,BE,BE-VLI,Kleine Brogel,EBBL,,,51.168301,5.47
EBBR,large_airport,Brussels Airport,175.0,EU,BE,BE-BRU,Zaventem,EBBR,BRU,,50.901402,4.48444
EBCI,medium_airport,Brussels South Charleroi Airport,614.0,EU,BE,BE-WHT,Brussels,EBCI,CRL,,50.459202,4.45382
EBCV,medium_airport,Chièvres Air Base,194.0,EU,BE,BE-WHT,Chièvres,EBCV,,,50.575801849365234,3.8310000896453857
EBFN,medium_airport,Koksijde Air Base,20.0,EU,BE,BE-VWV,Koksijde,EBFN,,,51.090301513671875,2.652780055999756
EBFS,medium_airport,Florennes Air Base,935.0,EU,BE,BE-WNA,Florennes,EBFS,,,50.2433013916,4.64583015442
EBKT,medium_airport,Wevelgem Airport,55.0,EU,BE,BE-VWV,Wevelgem,EBKT,KJK,,50.8172,3.20472
EBLG,medium_airport,Liège Airport,659.0,EU,BE,BE-WLG,Liège,EBLG,LGG,,50.637402,5.44322
EBOS,medium_airport,Ostend-Bruges International Airport,13.0,EU,BE,BE-VWV,Ostend,EBOS,OST,,51.1998,2.874673
EDAC,medium_airport,Altenburg-Nobitz Airport,640.0,EU,DE,DE-TH,Altenburg,EDAC,AOC,,50.981945,12.506389
EDAH,medium_airport,Heringsdorf Airport,93.0,EU,DE,DE-MV,Heringsdorf,EDAH,HDF,,53.8787002563,14.152299881
EDBN,medium_airport,Neubrandenburg Airport,228.0,EU,DE,DE-MV,Neubrandenburg,EDBN,FNB,,53.6022,13.306
EDBR,medium_airport,Rothenburg/Görlitz Airfield,518.0,EU,DE,DE-SN,Rothenburg/Oberlausitz,EDBR,,,51.363335,14.95
EDDB,large_airport,Berlin Brandenburg Airport,157.0,EU,DE,DE-BR,Berlin,EDDB,BER,,52.362247,13.500672
EDDC,medium_airport,Dresden Airport,755.0,EU,DE,DE-SN,Dresden,EDDC,DRS,,51.134123,13.767831
EDDE,medium_airport,Erfurt Airport,1036.0,EU,DE,DE-TH,Erfurt,EDDE,ERF,,50.979801177978516,10.958100318908691
EDDF,large_airport,Frankfurt Airport,364.0,EU,DE,DE-HE,Frankfurt am Main,EDDF,FRA,,50.036521,8.561268
EDDG,medium_airport,Münster Osnabrück Airport,160.0,EU,DE,DE-NW,Münster,EDDG,FMO,,52.134602,7.68483
EDDH,large_airport,Hamburg Helmut Schmidt Airport,53.0,EU,DE,DE-HH,Hamburg,EDDH,HAM,,53.630402,9.98823
EDDK,large_airport,Cologne Bonn Airport,302.0,EU,DE,DE-NW,Köln (Cologne),EDDK,CGN,,50.865898,7.14274
EDDL,large_airport,Düsseldorf Airport,147.0,EU,DE,DE-NW,Düsseldorf,EDDL,DUS,,51.289501,6.76678
EDDM,large_airport,Munich Airport,1487.0,EU,DE,DE-BY,Munich,EDDM,MUC,,48.353802,11.7861
EDDN,large_airport,Nuremberg Airport,1046.0,EU,DE,DE-BY,Nuremberg,EDDN,NUE,,49.498699,11.078056
EDDP,large_airport,Leipzig/Halle Airport,465.0,EU,DE,DE-SN,Leipzig,EDDP,LEJ,,51.423889,12.236389
EDDR,medium_airport,Saarbrücken Airport,1058.0,EU,DE,DE-SL,Saarbrücken,EDDR,SCN,,49.214599609400004,7.10950994492
EDDS,large_airport,Stuttgart Airport,1276.0,EU,DE,DE-BW,Stuttgart,EDDS,STR,,48.689899444599995,9.22196006775
EDDV,large_airport,Hannover Airport,183.0,EU,DE,DE-NI,Hannover,EDDV,HAJ,,52.461102,9.68508
EDDW,medium_airport,Bremen Airport,14.0,EU,DE,DE-HB,Bremen,EDDW,BRE,,53.047501,8.78667
EDFE,medium_airport,Frankfurt-Egelsbach Airport,384.0,EU,DE,DE-HE,Egelsbach,EDFE,,,49.96,8.643043
EDFH,medium_airport,Frankfurt-Hahn Airport,1649.0,EU,DE,DE-RP,Frankfurt am Main (Lautzenhausen),EDFH,HHN,,49.9487,7.26389
EDFM,medium_airport,Mannheim-City Airport,308.0,EU,DE,DE-BW,Mannheim,EDFM,MHG,,49.473057,8.514167
EDFZ,medium_airport,Mainz-Finthen Airport,760.0,EU,DE,DE-RP,Mainz,EDFZ,,,49.967499,8.147222
EDGE,medium_airport,Eisenach-Kindel Airport,1112.0,EU,DE,DE-TH,Eisenach,EDGE,EIB,,50.991604,10.47973
EDGS,medium_airport,Siegerland Airport,1966.0,EU,DE,DE-NW,,EDGS,SGE,,50.707698822021484,8.082969665527344
EDHI,medium_airport,Hamburg-Finkenwerder Airport,23.0,EU,DE,DE-HH,Hamburg,EDHI,XFW,,53.5352783203125,9.835556030273438
EDHK,medium_airport,Kiel-Holtenau Airport,102.0,EU,DE,DE-SH,Kiel,EDHK,KEL,,54.379444,10.145278
EDHL,medium_airport,Lübeck Blankensee Airport,53.0,EU,DE,DE-SH,Lübeck,EDHL,LBC,,53.8054008484,10.7192001343
EDJA,medium_airport,Memmingen Allgau Airport,2077.0,EU,DE,DE-BY,Memmingen,EDJA,FMM,,47.988800048799995,10.2395000458
EDLN,medium_airport,Mönchengladbach Airport,125.0,EU,DE,DE-NW,Mönchengladbach,EDLN,MGL,,51.230278,6.504444
EDLP,medium_airport,Paderborn Lippstadt Airport,699.0,EU,DE,DE-NW,Paderborn,EDLP,PAD,,51.614101409899995,8.616319656369999
EDLV,medium_airport,Weeze Airport,106.0,EU,DE,DE-NW,Weeze,EDLV,NRN,,51.6024017334,6.14216995239
EDLW,medium_airport,Dortmund Airport,425.0,EU,DE,DE-NW,Dortmund,EDLW,DTM,,51.518299,7.61224
EDMA,medium_airport,Augsburg Airport,1516.0,EU,DE,DE-BY,Augsburg,EDMA,AGB,,48.425278,10.931667
EDMO,medium_airport,Oberpfaffenhofen Airport,1947.0,EU,DE,DE-BY,Weßling,EDMO,OBF,,48.081402,11.2831
EDNY,medium_airport,Friedrichshafen Airport,1367.0,EU,DE,DE-BW,Friedrichshafen,EDNY,FDH,,47.671299,9.51149
EDOP,medium_airport,Schwerin Parchim Airport,166.0,EU,DE,DE-MV,,EDOP,SZW,,53.426998,11.7834
EDQA,medium_airport,Bamberg-Breitenau Airfield,811.0,EU,DE,DE-BY,Bamberg,EDQA,,,49.920403,10.914233
EDQD,medium_airport,Bayreuth Airport,1601.0,EU,DE,DE-BY,Bayreuth,EDQD,BYU,,49.985001,11.64
EDQM,medium_airport,Hof-Plauen Airport,1959.0,EU,DE,DE-BY,Hof,EDQM,HOQ,,50.288612,11.856389
EDSB,medium_airport,Karlsruhe Baden-Baden Airport,408.0,EU,DE,DE-BW,Baden-Baden,EDSB,FKB,,48.7794,8.0805
EDTD,medium_airport,Flugplatz Donaueschingen-Villingen,2231.0,EU,DE,DE-BW,Donaueschingen,EDTD,,,47.973331,8.522222
EDTL,medium_airport,Lahr Airport,511.0,EU,DE,DE-BW,,EDTL,LHA,,48.3693008423,7.82772016525
EDTY,medium_airport,Adolf Würth Airport,1299.0,EU,DE,DE-BW,Schwäbisch Hall,EDTY,,,49.1183319092,9.783888816829998
EDUZ,medium_airport,Flugplatz Zerbst,289.0,EU,DE,DE-ST,Zerbst/Anhalt,EDUZ,,,52.000832,12.148611
EDVE,medium_airport,Braunschweig-Wolfsburg Airport,295.0,EU,DE,DE-NI,Braunschweig,EDVE,BWE,,52.319199,10.5561
EDVK,medium_airport,Kassel-Calden Airport,820.0,EU,DE,DE-HE,Kassel,EDVK,KSF,,51.417273,9.384967
EDXW,medium_airport,Westerland Sylt Airport,51.0,EU,DE,DE-SH,Westerland,EDXW,GWT,,54.9132,8.34047
EEEI,medium_airport,Ämari Air Base,65.0,EU,EE,EE-37,Keila,EEEI,,,59.26029968261719,24.208499908447266
EEKA,medium_airport,Kärdla Airport,18.0,EU,EE,EE-39,Kärdla,EEKA,KDL,,58.99079895019531,22.830699920654297
EEKE,medium_airport,Kuressaare Airport,14.0,EU,EE,EE-74,Kuressaare,EEKE,URE,,58.22990036010742,22.50950050354004
EEPU,medium_airport,Pärnu Airport,47.0,EU,EE,EE-67,Pärnu,EEPU,EPU,,58.41899871826172,24.47279930114746
EES,medium_airport,Berenice International Airport / Banas Cape Air Base,108.0,AF,EG,EG-BA,Berenice Troglodytica,,EES,,23.989802,35.465047
EETN,large_airport,Lennart Meri Tallinn Airport,131.0,EU,EE,EE-37,Tallinn,EETN,TLL,,59.41329956049999,24.832799911499997
EETU,medium_airport,Tartu Airport,220.0,EU,EE,EE-7B,Tartu,EETU,TAY,,58.307499,26.690399
EFET,medium_airport,Enontekio Airport,1005.0,EU,FI,FI-10,Enontekio,EFET,ENF,,68.362602233887,23.424299240112
EFHA,medium_airport,Halli Airport,479.0,EU,FI,FI-08,Jämsä,EFHA,KEV,,61.856039,24.786686
EFHK,large_airport,Helsinki Vantaa Airport,179.0,EU,FI,FI-18,Helsinki,EFHK,HEL,,60.3172,24.963301
EFIT,medium_airport,Kitee Airport,364.0,EU,FI,FI-13,Kitee,EFIT,KTQ,,62.1661,30.073601
EFIV,medium_airport,Ivalo Airport,481.0,EU,FI,FI-10,Ivalo,EFIV,IVL,,68.607299804688,27.405300140381
EFJO,medium_airport,Joensuu Airport,398.0,EU,FI,FI-13,Joensuu / Liperi,EFJO,JOE,,62.662899,29.6075
EFJY,medium_airport,Jyväskylä Airport,459.0,EU,FI,FI-08,Jyväskylän Maalaiskunta,EFJY,JYV,,62.399502,25.678301
EFKA,medium_airport,Kauhava Airfield,151.0,EU,FI,FI-03,Kauhava,EFKA,KAU,,63.127102,23.051399
EFKE,medium_airport,Kemi-Tornio Airport,61.0,EU,FI,FI-10,Kemi / Tornio,EFKE,KEM,,65.778701782227,24.582099914551
EFKI,medium_airport,Kajaani Airport,483.0,EU,FI,FI-05,Kajaani,EFKI,KAJ,,64.2855,27.6924
EFKJ,medium_airport,Kauhajoki Airfield,407.0,EU,FI,FI-03,,EFKJ,KHJ,,62.463212,22.390817
EFKK,medium_airport,Kokkola-Pietarsaari Airport,84.0,EU,FI,FI-07,Kokkola / Kruunupyy,EFKK,KOK,,63.721199,23.143101
EFKS,medium_airport,Kuusamo Airport,866.0,EU,FI,FI-14,Kuusamo,EFKS,KAO,,65.987602,29.239401
EFKT,medium_airport,Kittilä Airport,644.0,EU,FI,FI-10,Kittilä,EFKT,KTT,,67.700996398926,24.846799850464
EFKU,medium_airport,Kuopio Airport,323.0,EU,FI,FI-15,Kuopio / Siilinjärvi,EFKU,KUO,,63.007099,27.7978
EFLP,medium_airport,Lappeenranta Airport,349.0,EU,FI,FI-02,Lappeenranta,EFLP,LPP,,61.044601,28.144743
EFMA,medium_airport,Mariehamn Airport,17.0,EU,FI,FI-01,Mariehamn,EFMA,MHQ,,60.1222,19.898199
EFMI,medium_airport,Mikkeli Airport,329.0,EU,FI,FI-04,Mikkeli,EFMI,MIK,,61.6866,27.201799
EFOU,medium_airport,Oulu Airport,47.0,EU,FI,FI-14,Oulu / Oulunsalo,EFOU,OUL,,64.930099,25.354601
EFPO,medium_airport,Pori Airport,44.0,EU,FI,FI-17,Pori,EFPO,POR,,61.4617,21.799999
EFPR,medium_airport,Helsinki East-Redstone Airport,72.0,EU,FI,FI-09,Helsinki (Pyhtää),EFPR,,,60.479167,26.593889
EFRO,medium_airport,Rovaniemi Airport,642.0,EU,FI,FI-10,Rovaniemi,EFRO,RVN,,66.564796447754,25.830400466919
EFSA,medium_airport,Savonlinna Airport,311.0,EU,FI,FI-04,Savonlinna,EFSA,SVL,,61.9431,28.945101
EFSI,medium_airport,Seinäjoki Airport,302.0,EU,FI,FI-03,Seinäjoki / Ilmajoki,EFSI,SJY,,62.692101,22.8323
